,city,0,100,0km_h,100km_h,imp,centerlon,centerlat
0,baoding,8.948180613,10.19291408,32.21345021,36.69449069,13.91046427,115.177286,39.022701
1,beijing,7.924964169,9.153969114,28.52987101,32.95428881,15.50801895,116.419926,40.18802
2,cangzhou,10.35307976,11.11730699,37.27108714,40.02230516,7.38164148,116.771083,38.26945
3,changchun,6.767826525,7.935565588,24.36417549,28.56803612,17.25427002,125.590163,44.285304
4,changsha,9.207711983,10.03865291,33.14776314,36.13915048,9.024401812,113.158303,28.223787
5,changzhou,9.335015207,10.21754487,33.60605475,36.78316153,9.453971348,119.641565,31.622973
6,chengdu,8.883639231,9.178796366,31.98110123,33.04366692,3.322479981,103.931693,30.651207
7,chongqing,8.631078616,9.566194862,31.07188302,34.4383015,10.83429184,107.879617,30.055029
8,chuzhou,8.970238085,10.3672068,32.29285711,37.32194448,15.57337388,118.107844,32.542321
9,dalian,8.175915141,9.125665367,29.43329451,32.85239532,11.61643938,122.196657,39.586303
10,datong,9.649765719,10.54614493,34.73915659,37.96612175,9.289129261,113.725711,39.901618
11,deyang,8.243504969,9.395903486,29.67661789,33.82525255,13.97947258,104.438271,31.126958
12,dezhou,9.658737236,10.5082704,34.77145405,37.82977344,8.795488926,116.653177,37.249041
13,dongguan,8.704902921,8.929677442,31.33765052,32.14683879,2.582159997,113.88018,22.931704
14,foshan,9.988682358,10.28101412,35.95925649,37.01165083,2.926629875,112.949876,23.003965
15,fuzhou,8.919674768,9.651262273,32.11082916,34.74454418,8.201952695,119.205465,26.045429
16,ganzhou,8.600021321,9.024813547,30.96007676,32.48932877,4.939432243,115.277955,25.705738
17,guangzhou,9.581239013,10.13060875,34.49246045,36.4701915,5.733806831,113.544242,23.328294
18,guilin,7.828948067,8.229168149,28.18421304,29.62500534,5.112054373,110.518134,25.352283
19,guiyang,10.14642612,10.32947877,36.52713403,37.18612357,1.804109623,106.710733,26.839111
20,haikou,8.071980715,8.450176256,29.05913057,30.42063452,4.685287965,110.424141,19.849972
21,handan,9.721946172,11.03932675,34.99900622,39.7415763,13.55058498,114.54878,36.552852
22,hangzhou,8.425166348,9.115032452,30.33059885,32.81411683,8.188160038,119.475401,29.89723
23,harbin,8.412206163,9.571715944,30.28394219,34.4581774,13.78365863,127.964618,45.639399
24,hefei,8.69106669,9.270316729,31.28784008,33.37314022,6.664890049,117.360493,31.760659
25,hengyang,9.014880993,9.425137521,32.45357157,33.93049508,4.550881241,112.579737,26.790704
26,hohhot,9.960298121,10.48071674,35.85707324,37.73058026,5.224930144,111.504801,40.592196
27,hongkong,7.092213758,8.197020972,25.53196953,29.5092755,15.57774838,114.133498,22.376035
28,huai_an,10.55615856,10.88738887,38.00217082,39.19459993,3.137792106,118.970187,33.350112
29,huizhou,9.329419354,9.864001049,33.58590967,35.51040378,5.730063948,114.507602,23.232708
30,huzhou,7.762228899,8.423009638,27.94402404,30.3228347,8.512770592,119.87357,30.74252
31,jiangmen,9.953523896,10.64378312,35.83268603,38.31761923,6.934822594,112.677816,22.265163
32,jiaxing,9.271059095,9.989797604,33.37581274,35.96327137,7.752496254,120.783309,30.619673
33,jinan,7.768402303,8.79014999,27.96624829,31.64453996,13.15261037,117.221277,36.637302
34,jinhua,8.76710973,9.307632948,31.56159503,33.50747861,6.16535249,119.956799,29.114331
35,jining,10.03335044,10.08135101,36.12006158,36.29286364,0.478410181,116.741155,35.36912
36,kunming,8.435571108,9.100688175,30.36805599,32.76247743,7.884671452,102.874162,25.384166
37,langfang,8.881450838,10.09712151,31.97322302,36.34963744,13.6877487,116.633878,39.260216
38,lanzhou,9.945557638,10.89092314,35.8040075,39.2073233,9.505404688,103.644952,36.353182
39,lianyungang,8.454627074,8.982754027,30.43665747,32.3379145,6.246602581,119.145105,34.534947
40,linyi,9.725200423,10.48472215,35.01072152,37.74499974,7.809831098,118.286251,35.308744
41,liuzhou,7.914868218,8.709294458,28.49352558,31.35346005,10.03713793,109.375126,24.944482
42,luoyang,9.780019418,10.12778442,35.2080699,36.46002391,3.555872306,112.037836,34.291147
43,maoming,9.375657903,10.15755908,33.75236845,36.56721269,8.339693972,110.958513,22.007551
44,mianyang,9.599423279,10.88847888,34.5579238,39.19852397,13.42846923,104.70626,31.846265
45,nanchang,9.265481431,9.668621394,33.35573315,34.80703702,4.35098776,116.023713,28.646644
46,nanchong,8.108814123,8.968341595,29.19173084,32.28602974,10.59991583,106.207272,31.193469
47,nanjing,8.337517506,9.487265555,30.01506302,34.154156,13.79005259,118.848164,31.925782
48,nanning,9.128020287,9.384623964,32.86087303,33.78464627,2.811164622,108.46782,23.05439
49,nantong,9.343576282,9.444718664,33.63687462,34.00098719,1.082480401,121.04888,32.181316
50,nanyang,8.141541303,9.524878792,29.30954869,34.28956365,16.99110079,112.289363,33.04248
51,ningbo,8.175689032,9.095455705,29.43248052,32.74364054,11.25002027,121.482414,29.728408
52,ordos,8.72475854,8.994451003,31.40913074,32.38002361,3.09111664,108.634335,39.412584
53,qingdao,8.565544,9.734564626,30.8359584,35.04443265,13.64794374,120.150856,36.447737
54,qingyuan,8.802932356,9.312046465,31.69055648,33.52336727,5.783460424,112.880294,24.311422
55,quanzhou,9.126949968,9.454666623,32.85701988,34.03679984,3.590648093,118.269507,25.189962
56,quzhou,8.897921202,9.676305072,32.03251633,34.83469826,8.747929458,118.679766,28.931381
57,sanya,9.518431471,10.12424383,34.2663533,36.44727779,6.364623844,109.418667,18.363454
58,shanghai,7.516799531,9.12776787,27.06047831,32.85996433,21.43157247,121.486625,31.208625
59,shantou,9.310684592,9.812763307,33.51846453,35.32594791,5.39250052,116.59964,23.327761
60,shaoguan,9.822438117,10.55902523,35.36077722,38.01249083,7.499025234,113.779491,24.817635
61,shaoxin,9.141057643,9.452797701,32.90780751,34.03007172,3.410328106,120.641093,29.732085
62,shenyang,8.866709411,10.45576655,31.92015388,37.64075958,17.92161066,123.143322,42.096415
63,shenzhen,9.189964029,9.81792712,33.0838705,35.34453763,6.833139814,114.141845,22.642652
64,shijiazhuang,10.48819649,10.67340755,37.75750736,38.42426718,1.765899983,114.445446,38.131041
65,suqian,8.444097235,9.718973293,30.39875005,34.98830385,15.09783725,118.525758,33.782874
66,suzhou,7.757333089,8.617142442,27.92639912,31.02171279,11.08382666,120.660424,31.381434
67,taiyuan,8.855603784,8.962734873,31.88017362,32.26584554,1.209754768,112.322139,37.959559
68,taizhou,9.569587177,10.43204306,34.45051384,37.55535502,9.012466965,121.140073,28.754959
69,taizhou1,9.704894882,9.875143927,34.93762158,35.55051814,1.754259547,120.061065,32.56924
70,tai_an,9.186659976,10.31640028,33.07197591,37.13904101,12.29761749,117.03094,36.001801
71,tangshan,9.155645362,9.792385625,32.9603233,35.25258825,6.954619121,118.337978,39.710267
72,tianjin,8.848232773,9.454949166,31.85363798,34.037817,6.856921699,117.347635,39.284229
73,urumqi,11.14965098,11.1592168,40.13874353,40.17318048,0.085794793,87.78256,43.733516
74,weifang,8.08263919,8.715772701,29.09750108,31.37678172,7.833252186,119.07809,36.551901
75,wenzhou,8.129249601,9.010091014,29.26529856,32.43632765,10.83545784,120.467968,27.89279
76,wuhan,8.872121316,9.534504078,31.93963674,34.32421468,7.465889367,114.348377,30.621754
77,wuhu,9.350035615,10.13670403,33.66012821,36.49213451,8.413533888,118.140049,31.160399
78,wuxi,10.34916572,10.77311271,37.25699659,38.78320576,4.096436384,120.080328,31.521983
79,xiamen,9.63548169,10.15775908,34.68773408,36.56793269,5.420355793,118.124907,24.659124
80,xianyang,8.150615751,8.881266796,29.3422167,31.97256047,8.964366219,108.394648,34.78411
81,xingtai,9.812320652,10.74981892,35.32435435,38.69934811,9.554297105,114.822445,37.213015
82,xining,10.28546102,10.89842735,37.02765967,39.23433846,5.959541617,101.438713,36.825832
83,xinxiang,8.727072361,10.16241433,31.4174605,36.58469159,16.44700433,114.09562,35.263128
84,xi_an,8.862610139,9.824910387,31.9053965,35.36967739,10.85797787,108.796549,34.105793
85,xuzhou,9.920547274,10.43321544,35.71397019,37.55957558,5.167740769,117.522638,34.354254
86,yancheng,10.20910452,10.49283138,36.75277627,37.77419297,2.779155208,120.199905,33.512617
87,yangzhou,9.805281374,10.39641683,35.29901295,37.42710059,6.028745463,119.479711,32.735359
88,yantai,9.846715744,11.0343568,35.44817668,39.72368448,12.06129116,120.8045,37.24469
89,yili,10.04084025,10.10633666,36.1470249,36.38281198,0.65230009,82.127485,43.447256
90,yinchuan,8.004137127,9.062559566,28.81489366,32.62521444,13.22344211,106.347879,38.286237
91,zhangjiakou,7.783761671,8.316156298,28.02154202,29.93816267,6.839811514,115.038236,40.866547
92,zhangzhou,8.396203619,9.539185519,30.22633303,34.34106787,13.61307981,117.458498,24.329213
93,zhanjiang,9.17973901,10.17847756,33.04706044,36.64251922,10.87981422,110.169193,21.073012
94,zhaoqing,10.4540962,10.87308604,37.63474632,39.14310974,4.007901133,112.210424,23.53509
95,zhengzhou,10.261994,10.82762607,36.9431784,38.97945385,5.511911915,113.477292,34.625642
96,zhenjiang,10.20609465,10.79088518,36.74194074,38.84718665,5.72981684,119.458047,32.013633
97,zhongshan,8.897623492,9.182499331,32.03144457,33.05699759,3.201707054,113.398713,22.517217
98,zhuhai,9.768871083,10.37983294,35.1679359,37.36739858,6.254170536,113.36317,22.150337
99,zibo,9.302585769,10.18695498,33.48930877,36.67303793,9.506703114,118.059119,36.608282
